peak_pos,onset,diastolic_notch,asp,adp,adn,rp,d1,d2,rd,rn,T1,T2,pi2pi_pr,pi2pi_po,annotation
12265,12310.0,12352.0,1.1816698775883312,-1.1276291064763,-0.6603911734067197,-0.954267454779906,1.842061050995051,-0.4672379330695803,-3.942447563906877,-0.5588626620105704,0.6796875,0.328125,0.6920000000000002,0.7199999999999989,N
12445,12381.0,12479.0,3.5463763527568033,-1.8727150867016922,-0.7972179573241015,-0.5280643959984457,4.3435943100809045,-1.0754971293775908,-4.038685173055384,-0.2247979001733355,0.265625,0.765625,0.7199999999999989,0.7079999999999984,N
12622,12657.0,12693.0,0.27233721056603577,-0.5256163687610254,0.6071452221380736,-1.9300203878440436,-0.3348080115720379,-1.132761590899099,0.29556794144679027,2.229387680354662,0.5546875,0.28125,0.7079999999999984,0.7240000000000038,N
12803,12884.0,12931.0,1.3096355273126268,-0.9217642701756008,-0.21331975000231254,-0.7038326701987552,1.5229552773149393,-0.7084445201732883,-2.1497170688008405,-0.16288482219174738,1.0,0.3671875,0.7240000000000038,0.7039999999999935,N
12979,13007.0,13070.0,0.6198197299213767,-1.3353352384933084,0.6452380535294527,-2.15439292108803,-0.025418323608076054,-1.9805732920227612,0.012833821252894053,1.0410092199086665,0.7109375,0.4921875,0.7039999999999935,0.7080000000000055,N
13156,13117.0,13200.0,1.971109147174225,-2.627209874019261,0.054742711578689006,-1.3328586485358356,1.916366435595536,-2.68195258559795,-0.7145415045315859,0.027772542001120518,0.34375,0.6484375,0.7080000000000055,0.6920000000000002,N
13329,13325.0,13375.0,2.0734104089566205,1.9059426071405206,-0.4295694450799822,0.9192307508958765,2.5029798540366026,2.3355120522205026,1.0717049615123497,-0.2071801333804192,0.359375,0.390625,0.6920000000000002,0.6559999999999988,N
13493,13448.0,13522.0,0.9009546071267109,-1.7495838662422918,0.5628300495330552,-1.9419223259449174,0.3381245575936558,-2.312413915775347,-0.14622146808880598,0.6247041139264614,0.2265625,0.578125,0.6559999999999988,0.6879999999999953,N
13665,13625.0,13729.0,-0.16668466894741057,-1.804911817963984,-0.9330761971611432,10.82830130306368,0.7663915282137326,-0.8718356208028408,-0.8790550763548652,5.597852538289116,0.5,0.8125,0.6879999999999953,0.6640000000000015,N
13831,13866.0,13921.0,0.7453678272699916,-1.8005456538618316,0.18398909837944327,-2.4156471315062906,0.5613787288905483,-1.9845347522412748,-0.2828767439101501,0.24684335927581919,0.703125,0.4296875,0.6640000000000015,0.6720000000000041,N
13999,14033.0,14062.0,-0.058679666773162,-0.9717680374748862,-0.029306653578988325,16.560558212292687,-0.029373013194173674,-0.9424613838958978,0.03116627768105791,0.49943456039515466,0.4921875,0.2265625,0.6720000000000041,0.6639999999999944,N
14165,14218.0,14276.0,0.9280533729858025,-1.297233656461217,-1.4923358946277518,-1.3978007022243346,2.4203892676135546,0.19510223816653482,12.40574834178768,-1.6080280919905474,0.8671875,0.453125,0.6639999999999944,0.632000000000005,N
14323,14436.0,14477.0,2.2240042500164465,-1.7530281234114145,0.59509954405394,-0.78823056358748,1.6289047059625066,-2.3481276674653544,-0.6937036382356498,0.26758021890000405,1.203125,0.3203125,0.632000000000005,0.6640000000000015,N
14489,14662.0,14707.0,1.0809368973870315,-1.8939770071938729,-0.05550882691763948,-1.7521624174105057,1.136445724304671,-1.8384681802762333,-0.618148160787813,-0.0513525137793168,1.703125,0.3515625,0.6640000000000015,0.6159999999999997,N
14643,14662.0,14707.0,0.06790992918265605,-1.8939770071938729,-0.05550882691763948,-27.88954472474384,0.12341875610029554,-1.8384681802762333,-0.06713129844964282,-0.8173889677949515,0.5,0.3515625,0.6159999999999997,0.6359999999999957,N
14802,14794.0,14852.0,-0.09503693924075056,-0.3768518256834096,-0.19733945958938665,3.965319471503146,0.10230252034863609,-0.17951236609402293,-0.5698912145977355,2.076450074738625,0.390625,0.453125,0.6359999999999957,0.6080000000000041,N
14954,15084.0,15153.0,2.3605122127005305,0.608224803417486,-1.9765069069015704,0.25766645058855675,4.3370191196021,2.5847317103190566,1.6779378309506419,-0.8373211950639979,1.5546875,0.5390625,0.6080000000000041,0.6199999999999974,N
15109,15084.0,15153.0,2.527041037277655,0.608224803417486,-1.9765069069015704,0.24068655571684655,4.503547944179225,2.5847317103190566,1.7423657264696581,-0.7821427819117781,0.34375,0.5390625,0.6199999999999974,0.6199999999999974,N
15264,15317.0,15394.0,2.2746936512528615,-1.1979596121381617,-0.6659597271324647,-0.5266465712771241,2.940653378385326,-0.5319998850056971,-5.527545139138207,-0.29276897430371146,1.015625,0.6015625,0.6199999999999974,0.6560000000000059,N
